Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist,Minute_decenas,primer_tiempo,segundo_tiempo
17/18,LaLiga,10,10/28/17,A,FC Barcelona,Athletic Bilbao,0:02,SS ,37,0:01,Left-footed shot,Jordi Alba,30,True,False
17/18,LaLiga,14,12-02-17,H,FC Barcelona,Celta de Vigo,2:02,SS,22,1:01,Left-footed shot,Paulinho,20,True,False
17/18,LaLiga,15,12/10-17,A,FC Barcelona,Villarreal CF,0:02,RW ,83,0:02,Left-footed shot,Sergio Busquets,80,False,True
17/18,LaLiga,17,12/23/17,A,FC Barcelona,Real Madrid,0:03,SS,64,0:02,Penalty,,60,False,True
17/18,LaLiga,18,01/07-18,H,FC Barcelona,Levante UD,3:00,SS,12,1:00,Left-footed shot,Jordi Alba,10,True,False
17/18,Copa del Rey,last 16,01/11-18,H,FC Barcelona,Celta de Vigo,5:00,SS,13,1:00,Left-footed shot,Jordi Alba,10,True,False
17/18,Copa del Rey,last 16,01/11-18,H,FC Barcelona,Celta de Vigo,5:00,SS,15,2:00,Left-footed shot,Jordi Alba,10,True,False
17/18,LaLiga,19,1/14/18,A,FC Barcelona,Real Sociedad,2:04,SS ,85,2:04,Direct free kick,,80,False,True
17/18,LaLiga,20,1/21/18,A,FC Barcelona,Real Betis Balompie,0:05,SS ,64,0:02,Left-footed shot,Sergio Busquets,60,False,True
17/18,LaLiga,20,1/21/18,A,FC Barcelona,Real Betis Balompie,0:05,SS ,80,0:04,Left-footed shot,Luis Suarez,80,False,True
17/18,Copa del Rey,Quarter-Finals,1/25/18,H,FC Barcelona,RCD Espanyol Barcelona,2:00,SS,25,2:00,Deflected shot on goal,,20,True,False
17/18,LaLiga,21,1/28/18,H,FC Barcelona,Deportivo Alaves,2:01,SS,84,2:01,Direct free kick,,80,False,True
17/18,UEFA Champions League,last 16,2/20/18,A,FC Barcelona,Chelsea FC,1:01,SS,75,1:01,Left-footed shot,Andres Iniesta,70,False,True
17/18,LaLiga,25,2/24/18,H,FC Barcelona,Girona FC,6:01,SS ,30,2:01,Left-footed shot,Luis Suarez,30,True,False
17/18,LaLiga,25,2/24/18,H,FC Barcelona,Girona FC,6:01,SS ,36,3:01,Direct free kick,,30,True,False
17/18,LaLiga,26,03-01-18,A,FC Barcelona,UD Las Palmas,1:01,SS,21,0:01,Direct free kick,,20,True,False
17/18,LaLiga,27,03-04-18,H,FC Barcelona,Atletico de Madrid,1:00,SS,26,1:00,Direct free kick,,20,True,False
17/18,UEFA Champions League,last 16,3/14/18,H,FC Barcelona,Chelsea FC,3:00,SS,3,1:00,Right-footed shot,Luis Suarez,0,True,False
17/18,UEFA Champions League,last 16,3/14/18,H,FC Barcelona,Chelsea FC,3:00,SS,63,3:00,Left-footed shot,Luis Suarez,60,False,True
17/18,LaLiga,29,3/18/18,H,FC Barcelona,Athletic Bilbao,2:00,SS ,30,2:00,Left-footed shot,Ousmane Dembele,30,True,False
17/18,LaLiga,30,3/31/18,A,FC Barcelona,Sevilla FC,2:02,RW,89,2:02,Left-footed shot,Philippe Coutinho,80,False,True
17/18,LaLiga,31,04/07-18,H,FC Barcelona,CD Leganes,3:01,SS ,27,1:00,Direct free kick,,20,True,False
17/18,LaLiga,31,04/07-18,H,FC Barcelona,CD Leganes,3:01,SS ,32,2:00,Left-footed shot,Philippe Coutinho,30,True,False
17/18,LaLiga,31,04/07-18,H,FC Barcelona,CD Leganes,3:01,SS ,87,3:01,Left-footed shot,Ousmane Dembele,80,False,True
17/18,Copa del Rey,Final,4/21/18,A,FC Barcelona,Sevilla FC,0:05,SS,31,0:02,Left-footed shot,Jordi Alba,30,True,False
17/18,LaLiga,35,4/29/18,A,FC Barcelona,Deportivo de La Coruaa,2:04,CF ,38,0:02,Left-footed shot,Luis Suarez,30,True,False
17/18,LaLiga,35,4/29/18,A,FC Barcelona,Deportivo de La Coruaa,2:04,CF ,82,2:03,Right-footed shot,Luis Suarez,80,False,True
17/18,LaLiga,35,4/29/18,A,FC Barcelona,Deportivo de La Coruaa,2:04,CF ,85,2:04,Left-footed shot,Luis Suarez,80,False,True
17/18,LaLiga,36,05/06-18,H,FC Barcelona,Real Madrid,2:02,SS,52,2:01,Left-footed shot,Luis Suarez,50,False,True
17/18,LaLiga,34,05/09-18,H,FC Barcelona,Villarreal CF,5:01,CF,45,3:00,Left-footed shot,Andres Iniesta,40,True,False
18/19,LaLiga,1,8/18/18,H,FC Barcelona,Deportivo Alaves,3:00,RW ,64,1:00,Direct free kick,,60,False,True
18/19,LaLiga,1,8/18/18,H,FC Barcelona,Deportivo Alaves,3:00,RW ,90,3:00,Left-footed shot,Luis Suarez,90,False,True
18/19,LaLiga,3,09-02-18,H,FC Barcelona,SD Huesca,8:02,RW ,16,1:01,Right-footed shot,Ivan Rakitic,10,True,False
18/19,LaLiga,3,09-02-18,H,FC Barcelona,SD Huesca,8:02,RW ,61,6:02,Left-footed shot,Philippe Coutinho,60,False,True
18/19,UEFA Champions League,Group Stage,9/18/18,H,FC Barcelona,PSV Eindhoven,4:00,RW ,31,1:00,Direct free kick,,30,True,False
18/19,UEFA Champions League,Group Stage,9/18/18,H,FC Barcelona,PSV Eindhoven,4:00,RW ,77,3:00,Left-footed shot,Ivan Rakitic,70,False,True
18/19,UEFA Champions League,Group Stage,9/18/18,H,FC Barcelona,PSV Eindhoven,4:00,RW ,87,4:00,Right-footed shot,Luis Suarez,80,False,True
18/19,LaLiga,5,9/23/18,H,FC Barcelona,Girona FC,2:02,RW ,19,1:00,Left-footed shot,Arturo Vidal,10,True,False
18/19,UEFA Champions League,Group Stage,10-03-18,A,FC Barcelona,Tottenham Hotspur,2:04,RW ,56,1:03,Left-footed shot,Jordi Alba,50,False,True
18/19,UEFA Champions League,Group Stage,10-03-18,A,FC Barcelona,Tottenham Hotspur,2:04,RW ,90,2:04,Left-footed shot,Jordi Alba,90,False,True
18/19,LaLiga,8,10/07-18,A,FC Barcelona,Valencia CF,1:01,RW ,23,1:01,Left-footed shot,Luis Suarez,20,True,False
18/19,LaLiga,9,10/20/18,H,FC Barcelona,Sevilla FC,4:02,RW ,12,2:00,Left-footed shot,Luis Suarez,10,True,False
18/19,LaLiga,12,11/11-18,H,FC Barcelona,Real Betis Balompie,3:04,SS ,68,1:02,Penalty,,60,False,True
18/19,LaLiga,12,11/11-18,H,FC Barcelona,Real Betis Balompie,3:04,SS ,90,3:04,Left-footed shot,Arturo Vidal,90,False,True
18/19,UEFA Champions League,Group Stage,11/28/18,A,FC Barcelona,PSV Eindhoven,1:02,CF ,61,0:01,Left-footed shot,Ousmane Dembele,60,False,True
18/19,LaLiga,15,12/08-18,A,FC Barcelona,RCD Espanyol Barcelona,0:04,RW ,17,0:01,Direct free kick,,10,True,False
18/19,LaLiga,15,12/08-18,A,FC Barcelona,RCD Espanyol Barcelona,0:04,RW ,65,0:04,Direct free kick,,60,False,True
18/19,LaLiga,16,12/16/18,A,FC Barcelona,Levante UD,0:05,SS ,43,0:02,Right-footed shot,Sergio Busquets,40,True,False
18/19,LaLiga,16,12/16/18,A,FC Barcelona,Levante UD,0:05,SS ,47,0:03,Left-footed shot,,40,False,True
18/19,LaLiga,16,12/16/18,A,FC Barcelona,Levante UD,0:05,SS ,60,0:04,Left-footed shot,Arturo Vidal,60,False,True
18/19,LaLiga,17,12/22/18,H,FC Barcelona,Celta de Vigo,2:00,RW ,45,2:00,Left-footed shot,Jordi Alba,40,True,False
18/19,LaLiga,18,01/06-19,A,FC Barcelona,Getafe CF,1:02,RW ,20,0:01,Left-footed shot,,20,True,False
18/19,LaLiga,19,1/13/19,H,FC Barcelona,SD Eibar,3:00,RW ,53,2:00,Left-footed shot,Luis Suarez,50,False,True
18/19,Copa del Rey,last 16,1/17/19,H,FC Barcelona,Levante UD,3:00,CF ,54,3:00,Left-footed shot,Nelson Semedo,50,False,True
18/19,LaLiga,20,1/20/19,H,FC Barcelona,CD Leganes,3:01,SS,90,3:01,Right-footed shot,Jordi Alba,90,False,True
18/19,LaLiga,21,1/27/19,A,FC Barcelona,Girona FC,0:02,RW ,69,0:02,Left-footed shot,Jordi Alba,60,False,True
18/19,Copa del Rey,Quarter-Finals,1/30/19,H,FC Barcelona,Sevilla FC,6:01,RW ,90,6:01,Left-footed shot,Jordi Alba,90,False,True
18/19,LaLiga,22,02-02-19,H,FC Barcelona,Valencia CF,2:02,RW ,39,1:02,Penalty,,30,True,False
18/19,LaLiga,22,02-02-19,H,FC Barcelona,Valencia CF,2:02,RW ,64,2:02,Left-footed shot,Arturo Vidal,60,False,True
18/19,LaLiga,24,2/16/19,H,FC Barcelona,Real Valladolid CF,1:00,RW ,43,1:00,Penalty,,40,True,False
18/19,LaLiga,25,2/23/19,A,FC Barcelona,Sevilla FC,2:04,RW ,26,1:01,Left-footed shot,Ivan Rakitic,20,True,False
18/19,LaLiga,25,2/23/19,A,FC Barcelona,Sevilla FC,2:04,RW ,67,2:02,Right-footed shot,Ousmane Dembele,60,False,True
18/19,LaLiga,25,2/23/19,A,FC Barcelona,Sevilla FC,2:04,RW ,85,2:03,Left-footed shot,,80,False,True
18/19,LaLiga,27,03/09-19,H,FC Barcelona,Rayo Vallecano,3:01,RW ,51,2:01,Penalty,,50,False,True
18/19,UEFA Champions League,last 16,3/13/19,H,FC Barcelona,Olympique Lyon,5:01,RW ,18,1:00,Penalty,,10,True,False
18/19,UEFA Champions League,last 16,3/13/19,H,FC Barcelona,Olympique Lyon,5:01,RW ,78,3:01,Right-footed shot,Sergio Busquets,70,False,True
18/19,LaLiga,28,3/17/19,A,FC Barcelona,Real Betis Balompie,1:04,SS ,18,0:01,Direct free kick,,10,True,False
18/19,LaLiga,28,3/17/19,A,FC Barcelona,Real Betis Balompie,1:04,SS ,45,0:02,Left-footed shot,Luis Suarez,40,True,False
18/19,LaLiga,28,3/17/19,A,FC Barcelona,Real Betis Balompie,1:04,SS ,85,1:04,Left-footed shot,Ivan Rakitic,80,False,True
18/19,LaLiga,29,3/30/19,H,FC Barcelona,RCD Espanyol Barcelona,2:00,RW ,71,1:00,Direct free kick,,70,False,True
18/19,LaLiga,29,3/30/19,H,FC Barcelona,RCD Espanyol Barcelona,2:00,RW ,89,2:00,Left-footed shot,Malcom,80,False,True
18/19,LaLiga,30,04-02-19,A,FC Barcelona,Villarreal CF,4:04,RW,90,4:03,Direct free kick,,90,False,True
18/19,LaLiga,31,04/06-19,H,FC Barcelona,Atletico de Madrid,2:00,SS ,87,2:00,Left-footed shot,,80,False,True
18/19,UEFA Champions League,Quarter-Finals,4/16/19,H,FC Barcelona,Manchester United,3:00,RW ,16,1:00,Left-footed shot,,10,True,False
18/19,UEFA Champions League,Quarter-Finals,4/16/19,H,FC Barcelona,Manchester United,3:00,RW ,20,2:00,Right-footed shot,,20,True,False
18/19,LaLiga,35,4/27/19,H,FC Barcelona,Levante UD,1:00,RW,62,1:00,Left-footed shot,Arturo Vidal,60,False,True
18/19,UEFA Champions League,Semi-Finals,05-01-19,H,FC Barcelona,Liverpool FC,3:00,RW ,75,2:00,Left-footed shot,Luis Suarez,70,False,True
18/19,UEFA Champions League,Semi-Finals,05-01-19,H,FC Barcelona,Liverpool FC,3:00,RW ,82,3:00,Direct free kick,,80,False,True
18/19,LaLiga,38,5/19/19,A,FC Barcelona,SD Eibar,2:02,CF ,31,1:01,Left-footed shot,Arturo Vidal,30,True,False
18/19,LaLiga,38,5/19/19,A,FC Barcelona,SD Eibar,2:02,CF ,32,1:02,Left-footed shot,Ivan Rakitic,30,True,False
18/19,Copa del Rey,Final,5/25/19,H,FC Barcelona,Valencia CF,1:02,CF ,73,1:02,Left-footed shot,Clement Lenglet,70,False,True
19/20,LaLiga,8,10/06-19,H,FC Barcelona,Sevilla FC,4:00,RW ,78,4:00,Direct free kick,,70,False,True
19/20,LaLiga,9,10/19/19,A,FC Barcelona,SD Eibar,0:03,RW ,58,0:02,Left-footed shot,Antoine Griezmann,50,False,True
19/20,UEFA Champions League,Group Stage,10/23/19,A,FC Barcelona,SK Slavia Prague,1:02,RW ,3,0:01,Left-footed shot,Arthur,0,True,False
19/20,LaLiga,11,10/29/19,H,FC Barcelona,Real Valladolid CF,5:01,RW ,34,3:01,Direct free kick,,30,True,False
19/20,LaLiga,11,10/29/19,H,FC Barcelona,Real Valladolid CF,5:01,RW ,75,4:01,Left-footed shot,Ivan Rakitic,70,False,True
19/20,LaLiga,12,11-02-19,A,FC Barcelona,Levante UD,3:01,RW ,38,0:01,Penalty,,30,True,False
19/20,LaLiga,13,11/09-19,H,FC Barcelona,Celta de Vigo,4:01,RW ,23,1:00,Penalty,,20,True,False
19/20,LaLiga,13,11/09-19,H,FC Barcelona,Celta de Vigo,4:01,RW ,45,2:01,Direct free kick,,40,True,False
19/20,LaLiga,13,11/09-19,H,FC Barcelona,Celta de Vigo,4:01,RW ,48,3:01,Direct free kick,,40,False,True
19/20,UEFA Champions League,Group Stage,11/27/19,H,FC Barcelona,Borussia Dortmund,3:01,RW ,33,2:00,Left-footed shot,Luis Suarez,30,True,False
19/20,LaLiga,15,12-01-19,A,FC Barcelona,Atletico de Madrid,0:01,RW ,86,0:01,Left-footed shot,Luis Suarez,80,False,True
19/20,LaLiga,16,12/07-19,H,FC Barcelona,RCD Mallorca,5:02,RW ,17,2:00,Left-footed shot,Antoine Griezmann,10,True,False
19/20,LaLiga,16,12/07-19,H,FC Barcelona,RCD Mallorca,5:02,RW ,41,3:01,Left-footed shot,Ivan Rakitic,40,True,False
19/20,LaLiga,16,12/07-19,H,FC Barcelona,RCD Mallorca,5:02,RW ,83,5:02,Left-footed shot,Luis Suarez,80,False,True
19/20,LaLiga,18,12/21/19,H,FC Barcelona,Deportivo Alaves,4:01,RW ,69,3:01,Left-footed shot,Luis Suarez,60,False,True
19/20,Supercopa,Semi-Finals,01/09-20,H,FC Barcelona,Atletico de Madrid,2:03,RW ,51,1:01,Right-footed shot,Luis Suarez,50,False,True
19/20,LaLiga,20,1/19/20,H,FC Barcelona,Granada CF,1:00,CF ,76,1:00,Right-footed shot,Arturo Vidal,70,False,True
19/20,Copa del Rey,Round of 16,1/30/20,H,FC Barcelona,CD Leganes,5:00,RW ,59,3:00,Left-footed shot,Frenkie de Jong,50,False,True
19/20,Copa del Rey,Round of 16,1/30/20,H,FC Barcelona,CD Leganes,5:00,RW ,89,5:00,Left-footed shot,Ivan Rakitic,80,False,True
19/20,LaLiga,25,2/22/20,H,FC Barcelona,SD Eibar,5:00,SS ,14,1:00,Left-footed shot,Ivan Rakitic,10,True,False
19/20,LaLiga,25,2/22/20,H,FC Barcelona,SD Eibar,5:00,SS ,37,2:00,Left-footed shot,Arturo Vidal,30,True,False
19/20,LaLiga,25,2/22/20,H,FC Barcelona,SD Eibar,5:00,SS ,40,3:00,Left-footed shot,,40,True,False
19/20,LaLiga,25,2/22/20,H,FC Barcelona,SD Eibar,5:00,SS ,87,4:00,Left-footed shot,,80,False,True
19/20,LaLiga,27,03/07-20,H,FC Barcelona,Real Sociedad,1:00,CF ,81,1:00,Penalty,,80,False,True
19/20,LaLiga,28,6/13/20,A,FC Barcelona,RCD Mallorca,0:04,RW ,90,0:04,Right-footed shot,Luis Suarez,90,False,True
19/20,LaLiga,29,6/16/20,H,FC Barcelona,CD Leganes,2:00,RW ,69,2:00,Penalty,,60,False,True
19/20,LaLiga,33,6/30/20,H,FC Barcelona,Atletico de Madrid,2:02,SS ,50,2:01,Penalty,,50,False,True
19/20,LaLiga,37,7/16/20,H,FC Barcelona,CA Osasuna,1:02,RW ,62,1:01,Direct free kick,,60,False,True
19/20,LaLiga,38,7/19/20,A,FC Barcelona,Deportivo Alaves,0:05,RW ,34,0:02,Left-footed shot,Riqui Puig,30,True,False
19/20,LaLiga,38,7/19/20,A,FC Barcelona,Deportivo Alaves,0:05,RW ,75,0:05,Left-footed shot,Jordi Alba,70,False,True
19/20,UEFA Champions League,last 16,08/08-20,H,FC Barcelona,SSC Napoli,3:01,SS ,23,2:00,Left-footed shot,,20,True,False
20/21,LaLiga,3,9/27/20,H,FC Barcelona,Villarreal CF,4:00,CF ,35,3:00,Penalty,,30,True,False
20/21,UEFA Champions League,Group Stage,10/20/20,H,FC Barcelona,Ferencvarosi TC,5:01,CF ,27,1:00,Penalty,,20,True,False
20/21,UEFA Champions League,Group Stage,10/28/20,A,FC Barcelona,Juventus FC,0:02,CF ,90,0:02,Penalty,,90,False,True
20/21,UEFA Champions League,Group Stage,11-04-20,H,FC Barcelona,Dynamo Kyiv,2:01,RW ,5,1:00,Penalty,,0,True,False
20/21,LaLiga,9,11/07-20,H,FC Barcelona,Real Betis Balompie,5:02,CF,61,3:01,Penalty,,60,False,True
20/21,LaLiga,9,11/07-20,H,FC Barcelona,Real Betis Balompie,5:02,CF,82,4:02,Left-footed shot,Sergi Roberto,80,False,True
20/21,LaLiga,11,11/29/20,H,FC Barcelona,CA Osasuna,4:00,RW ,73,4:00,Left-footed shot,Francisco TrincÃ£o,70,False,True
20/21,LaLiga,13,12/13/20,H,FC Barcelona,Levante UD,1:00,CF ,76,1:00,Left-footed shot,Frenkie de Jong,70,False,True
20/21,LaLiga,14,12/19/20,H,FC Barcelona,Valencia CF,2:02,CF ,45,1:01,Header,,40,True,False
20/21,LaLiga,15,12/22/20,A,FC Barcelona,Real Valladolid CF,0:03,AM ,65,0:03,Left-footed shot,Pedri,60,False,True
20/21,LaLiga,2,01/06-21,A,FC Barcelona,Athletic Bilbao,2:03,CF ,38,1:02,Left-footed shot,Pedri,30,True,False
20/21,LaLiga,2,01/06-21,A,FC Barcelona,Athletic Bilbao,2:03,CF ,62,1:03,Left-footed shot,Antoine Griezmann,60,False,True
20/21,LaLiga,18,01/09-21,A,FC Barcelona,Granada CF,0:04,CF ,35,0:02,Left-footed shot,Antoine Griezmann,30,True,False
20/21,LaLiga,18,01/09-21,A,FC Barcelona,Granada CF,0:04,CF ,42,0:03,Direct free kick,,40,True,False
20/21,Copa del Rey,Round of 16,1/27/21,A,FC Barcelona,Rayo Vallecano,1:02,CF ,69,1:01,Left-footed shot,Antoine Griezmann,60,False,True
20/21,LaLiga,21,1/31/21,H,FC Barcelona,Athletic Bilbao,2:01,CF ,20,1:00,Direct free kick,,20,True,False
20/21,LaLiga,22,02/07-21,A,FC Barcelona,Real Betis Balompie,2:03,CF,59,1:01,Left-footed shot,Ousmane Dembele,50,False,True
20/21,LaLiga,23,2/13/21,H,FC Barcelona,Deportivo Alaves,5:01,CF ,45,2:00,Left-footed shot,Sergio Busquets,40,True,False
20/21,LaLiga,23,2/13/21,H,FC Barcelona,Deportivo Alaves,5:01,CF ,75,4:01,Left-footed shot,Antoine Griezmann,70,False,True
20/21,UEFA Champions League,last 16,2/16/21,H,FC Barcelona,Paris Saint-Germain,1:04,CF ,27,1:00,Penalty,,20,True,False
20/21,LaLiga,24,2/21/21,H,FC Barcelona,Cadiz CF,1:01,CF ,32,1:00,Penalty,,30,True,False
20/21,LaLiga,1,2/24/21,H,FC Barcelona,Elche CF,3:00,CF ,48,1:00,Left-footed shot,Martin Braithwaite,40,False,True
20/21,LaLiga,1,2/24/21,H,FC Barcelona,Elche CF,3:00,CF ,68,2:00,Left-footed shot,Frenkie de Jong,60,False,True
20/21,LaLiga,25,2/27/21,A,FC Barcelona,Sevilla FC,0:02,CF ,85,0:02,Right-footed shot,Ilaix Moriba,80,False,True
20/21,UEFA Champions League,last 16,03/10-21,A,FC Barcelona,Paris Saint-Germain,1:01,SS ,37,1:01,Long distance kick,Pedri,30,True,False
20/21,LaLiga,27,3/15/21,H,FC Barcelona,SD Huesca,4:01,SS ,13,1:00,Left-footed shot,Sergio Busquets,10,True,False
20/21,LaLiga,27,3/15/21,H,FC Barcelona,SD Huesca,4:01,SS ,90,4:01,Left-footed shot,Francisco TrincÃ£o,90,False,True
20/21,LaLiga,28,3/21/21,A,FC Barcelona,Real Sociedad,1:06,SS ,56,0:04,Left-footed shot,Sergio Busquets,50,False,True
20/21,LaLiga,28,3/21/21,A,FC Barcelona,Real Sociedad,1:06,SS ,89,1:06,Left-footed shot,Jordi Alba,80,False,True
20/21,Copa del Rey,Final,4/17/21,A,FC Barcelona,Athletic Bilbao,0:04,CF ,68,0:03,Left-footed shot,Frenkie de Jong,60,False,True
20/21,Copa del Rey,Final,4/17/21,A,FC Barcelona,Athletic Bilbao,0:04,CF ,72,0:04,Left-footed shot,Jordi Alba,70,False,True
20/21,LaLiga,31,4/22/21,H,FC Barcelona,Getafe CF,5:02,CF ,8,1:00,Left-footed shot,Sergio Busquets,0,True,False
20/21,LaLiga,31,4/22/21,H,FC Barcelona,Getafe CF,5:02,CF ,33,3:01,Left-footed shot,,30,True,False
20/21,LaLiga,33,4/29/21,H,FC Barcelona,Granada CF,1:02,CF ,23,1:00,Left-footed shot,Antoine Griezmann,20,True,False
20/21,LaLiga,34,05-02-21,A,FC Barcelona,Valencia CF,2:03,CF ,57,1:01,Left-footed shot,,50,False,True
20/21,LaLiga,34,05-02-21,A,FC Barcelona,Valencia CF,2:03,CF ,69,1:03,Direct free kick,,60,False,True
20/21,LaLiga,36,05/11-21,A,FC Barcelona,Levante UD,3:03,SS ,25,0:01,Left-footed shot,,20,True,False
20/21,LaLiga,37,5/16/21,H,FC Barcelona,Celta de Vigo,1:02,SS ,28,1:00,Header,Sergio Busquets,20,True,False
21/22,UEFA Champions League,Group Stage,9/28/21,H,Paris Saint-Germain,Manchester City,2:00,RW,74,2:00,Left-footed shot,Kylian Mbappe,70,False,True
21/22,UEFA Champions League,Group Stage,10/19/21,H,Paris Saint-Germain,RB Leipzig,3:02,RW,67,2:02,Left-footed shot,Kylian Mbappe,60,False,True
21/22,UEFA Champions League,Group Stage,10/19/21,H,Paris Saint-Germain,RB Leipzig,3:02,RW,74,3:02,Penalty,,70,False,True
21/22,Ligue 1,14,11/20/21,H,Paris Saint-Germain,FC Nantes,3:01,RW,87,3:01,Left-footed shot,Kylian Mbappe,80,False,True
21/22,UEFA Champions League,Group Stage,12/07-21,H,Paris Saint-Germain,Club Brugge KV,4:01,CF,38,3:00,Left-footed shot,Kylian Mbappe,30,True,False
21/22,UEFA Champions League,Group Stage,12/07-21,H,Paris Saint-Germain,Club Brugge KV,4:01,CF,76,4:01,Penalty,,70,False,True
21/22,Ligue 1,23,02/06-22,A,Paris Saint-Germain,LOSC Lille,1:05,CF,38,1:03,Left-footed shot,,30,True,False
21/22,Ligue 1,30,04-03-22,H,Paris Saint-Germain,FC Lorient,5:01,RW,73,4:01,Left-footed shot,Kylian Mbappe,70,False,True
21/22,Ligue 1,34,4/23/22,H,Paris Saint-Germain,RC Lens,1:01,RW,68,1:00,Left-footed shot,Neymar,60,False,True
21/22,Ligue 1,37,5/14/22,A,Paris Saint-Germain,Montpellier,0:04,CF,6,0:01,Left-footed shot,Kylian Mbappé,0,True,False
21/22,Ligue 1,37,5/14/22,A,Paris Saint-Germain,Montpellier,0:04,CF,20,0:02,Left-footed shot,Kylian Mbappé,20,True,False
21/22,Trophée des Champions,Final,7/31/22,H,Paris Saint-Germain,FC Nantes,4:00,CF,22,1:00,"Right-footed shot,",,20,True,False
21/22,Ligue 1,1,08/06-22,A,Paris Saint-Germain,Clermont Foot,0:05,CF,80,0:04,Left-footed shot,Neymar,80,False,True
21/22,Ligue 1,1,08/06-22,A,Paris Saint-Germain,Clermont Foot,0:05,CF,86,0:05,Left-footed shot,Leandro Paredes,80,False,True
22/23,Troph�e des Champions,Final,7/31/22,H,Paris Saint-Germain,FC Nantes,4:00,CF,22,1:00,Right-footed shot,,20,True,False
22/23,Ligue 1,1,08/06-22,A,Paris Saint-Germain,Clermont Foot,0:05,CF,80,0:04,Left-footed shot,Neymar,80,False,True
22/23,Ligue 1,1,08/06-22,A,Paris Saint-Germain,Clermont Foot,0:05,CF,86,0:05,Left-footed shot,Leandro Paredes,80,False,True
22/23,Ligue 1,3,8/21/22,A,Paris Saint-Germain,LOSC Lille,1:07,AM,27,0:02,Right-footed shot,Nuno Mendes,20,True,False
22/23,Champions League,Group Stage,9/14/22,A,Paris Saint-Germain,Maccabi Haifa,1:03,SS,37,1:01,Left-footed shot,,30,True,False
22/23,Ligue 1,8,9/18/22,A,Paris Saint-Germain,Olympique Lyon,0:01,AM,5,0:01,Left-footed shot,Neymar,0,True,False
22/23,Ligue 1,9,10/1/22,H,Paris Saint-Germain,OGC Nice,2:1,AM,28,1:0,Direct free kick,,20,True,False
22/23,UEFA Champions League,Group Stage,10/5/22,A,Paris Saint-Germain,SL Benfica,1:1,AM,22,0:1,Left-footed shot,Neymar,20,True,False
22/23,Ligue 1,12,10/21/22,A,Paris Saint-Germain,AC Ajaccio,0:3,CF,78,0:2,Left-footed shot,Kylian Mbapp�,70,False,True
22/23,UEFA Champions League,Group Stage,10/25/22,H,Paris Saint-Germain,Maccabi Haifa,7:2,SS,19,1:0,Left-footed shot,Kylian Mbapp�,10,True,False
22/23,UEFA Champions League,Group Stage,10/25/22,H,Paris Saint-Germain,Maccabi Haifa,7:2,SS,44,4:1,Left-footed shot,Kylian Mbapp�,40,True,False
